year,month,day,co2_concentration,ch4_concentration,co2e,decimal_year
1987,5,13,351.51,1.67755,393.44875,1987.366210045662
1987,5,14,351.75,1.6932200000000002,394.08050000000003,1987.3689497716894
1987,5,15,351.83,1.68121,393.86025,1987.3716894977167
1987,5,16,351.72,1.6911900000000002,393.99975000000006,1987.3744292237443
1987,5,17,351.52,1.69305,393.84625,1987.3771689497717
1987,5,18,351.4,1.70149,393.93724999999995,1987.379908675799
1987,5,19,351.8,1.69911,394.27775,1987.3826484018264
1987,5,20,352.04,1.70206,394.5915,1987.3853881278537
1987,5,21,351.44,1.70165,393.98125,1987.3881278538813
1987,5,22,351.6,1.67957,393.58925,1987.3908675799087
1987,5,23,351.71,1.6918,394.005,1987.393607305936
1987,5,25,352.13,1.7210999999999999,395.15749999999997,1987.3990867579907
1987,5,26,352.04,1.7157,394.9325,1987.401826484018
1987,5,27,351.88,1.7161,394.78249999999997,1987.4045662100457
1987,5,30,352.13,1.68986,394.37649999999996,1987.4127853881278
1987,5,31,352.04,1.7006800000000002,394.557,1987.4155251141551
1987,6,1,352.06,1.7016900000000001,394.60225,1987.4166666666667
1987,6,2,351.25,1.6963800000000002,393.6595,1987.419406392694
1987,6,3,351.77,1.69567,394.16175,1987.4221461187215
1987,6,4,351.24,1.6843599999999999,393.349,1987.424885844749
1987,6,5,351.41,1.6951300000000002,393.78825000000006,1987.4276255707764
1987,6,6,351.62,1.6905000000000001,393.8825,1987.4303652968038
1987,6,7,351.45,1.70219,394.00475,1987.4331050228311
1987,6,9,351.4,1.70717,394.07925,1987.4385844748858
1987,6,10,351.42,1.7087700000000001,394.13925,1987.4413242009134
1987,6,12,351.13,1.6712500000000001,392.91125,1987.4468036529681
1987,6,13,351.03,1.70978,393.7745,1987.4495433789955
1987,6,14,350.75,1.7204000000000002,393.76,1987.4522831050228
1987,6,15,350.78,1.7066700000000001,393.44674999999995,1987.4550228310502
1987,6,16,350.95,1.70222,393.5055,1987.4577625570778
1987,6,17,351.09,1.69909,393.56724999999994,1987.4605022831051
1987,6,18,351.1,1.6994500000000001,393.58625,1987.4632420091325
1987,6,19,351.13,1.70059,393.64475,1987.4659817351599
1987,6,20,350.69,1.69903,393.16575,1987.4687214611872
1987,6,21,350.83,1.66195,392.37874999999997,1987.4714611872148
1987,6,22,351.09,1.6949400000000001,393.46349999999995,1987.4742009132422
1987,6,26,350.81,1.6751900000000002,392.68975,1987.4851598173516
1987,6,27,351.1,1.6781,393.0525,1987.4878995433792
1987,6,28,351.22,1.67425,393.07625,1987.4906392694065
1987,6,30,350.81,1.67281,392.63025,1987.4961187214612
1987,7,1,350.68,1.6809200000000002,392.70300000000003,1987.5
1987,7,2,349.79,1.68165,391.83125,1987.5027397260274
1987,7,3,349.57,1.69678,391.9895,1987.5054794520547
1987,7,4,348.97,1.70018,391.47450000000003,1987.5082191780823
1987,7,6,350.5,1.66958,392.2395,1987.513698630137
1987,7,8,350.67,1.68422,392.7755,1987.5191780821917
1987,7,9,350.57,1.67262,392.3855,1987.521917808219
1987,7,10,350.56,1.66975,392.30375,1987.5246575342467
1987,7,11,350.39,1.67272,392.20799999999997,1987.527397260274
1987,7,12,350.4,1.67355,392.23875,1987.5301369863014
1987,7,13,347.64,1.7008900000000002,390.16225,1987.5328767123287
1987,7,18,349.66,1.6736,391.5,1987.5465753424658
1987,7,19,347.8,1.6599000000000002,389.2975,1987.5493150684931
1987,7,21,349.07,1.6918499999999999,391.36625,1987.554794520548
1987,7,22,349.22,1.67078,390.9895,1987.5575342465754
1987,7,24,349.89,1.68334,391.9735,1987.5630136986301
1987,7,25,350.09,1.67144,391.876,1987.5657534246575
1987,8,21,348.15,1.67448,390.012,1987.6381278538813
1987,8,22,347.82,1.6847,389.9375,1987.6408675799087
1987,8,23,348.07,1.66843,389.78075,1987.643607305936
1987,8,24,348.01,1.6719600000000001,389.80899999999997,1987.6463470319634
1987,8,25,348.14,1.67007,389.89175,1987.6490867579907
1987,8,29,345.97,1.70305,388.54625000000004,1987.6600456621004
1987,8,30,346.23,1.70741,388.91525,1987.6627853881278
1987,8,31,346.65,1.66978,388.3945,1987.6655251141551
1987,9,1,346.25,1.68857,388.46425,1987.6666666666667
1987,9,5,346.67,1.66805,388.37125000000003,1987.6776255707764
1987,9,7,346.95,1.6794200000000001,388.9355,1987.6831050228311
1987,9,8,346.62,1.6866500000000002,388.78625,1987.6858447488585
1987,9,11,346.89,1.68331,388.97275,1987.6940639269408
1987,9,12,346.12,1.68073,388.13825,1987.6968036529681
1987,9,13,346.38,1.68744,388.566,1987.6995433789955
1987,9,14,346.99,1.68367,389.08175,1987.7022831050228
1987,9,15,346.91,1.67724,388.841,1987.7050228310502
